module,contrast,estimate,SE,df,t_ratio,p_raw,r_equiv,singular,p_bh
MEgreen,Aging,0.01199,0.04298,55.91,0.2791,0.7812334611663205,0.0373,FALSE,0.9084017924628057
MEgreen,Training_Young,-0.10704,0.03795,30.11,-2.8207,0.008401613500953219,-0.4572,FALSE,0.0636108734353926
MEgreen,Training_Old,0.01019,0.03884,28.31,0.2625,0.7948515684049551,0.0493,FALSE,0.9084017924628057
MEgreen,Interaction,0.11723,0.0543,29.17,2.159,0.039213666523570105,0.3712,FALSE,0.14259515099480038
MEpink,Aging,0.00402,0.04668,56.19,0.0861,0.9316893342910617,0.0115,FALSE,0.9316893342910617
MEpink,Training_Young,0.04766,0.04156,30.13,1.1467,0.2605144262074497,0.2045,FALSE,0.4977362280762368
MEpink,Training_Old,0.00788,0.04256,28.32,0.1852,0.8543754767614525,0.0348,FALSE,0.9154769357702094
MEpink,Interaction,-0.03978,0.05949,29.19,-0.6687,0.5089536133315791,-0.1228,FALSE,0.8143257813305266
MEturquoise,Aging,0.18164,0.03341,57.17,5.4366,1.1711048867559384e-6,0.5838,FALSE,4.684419547023754e-5
MEturquoise,Training_Young,-0.01259,0.03083,30.22,-0.4084,0.6858363727962615,-0.0741,FALSE,0.8572954659953269
MEturquoise,Training_Old,-0.01861,0.03163,28.37,-0.5882,0.5610481447856178,-0.1098,FALSE,0.8572954659953269
MEturquoise,Interaction,-0.00602,0.04417,29.25,-0.1362,0.8925900123759543,-0.0252,FALSE,0.9154769357702094
MEbrown,Aging,0.00656,0.04722,49.01,0.1389,0.8900761656847733,0.0198,FALSE,0.9154769357702094
MEbrown,Training_Young,-0.01478,0.03484,29.63,-0.4241,0.6745559083078355,-0.0777,FALSE,0.8572954659953269
MEbrown,Training_Old,-0.03949,0.03538,28.14,-1.1163,0.27375492544193025,-0.2059,FALSE,0.4977362280762368
MEbrown,Interaction,-0.02471,0.04966,28.86,-0.4977,0.6224764760351739,-0.0922,FALSE,0.8572954659953269
MEyellow,Aging,-0.15147,0.04179,53.07,-3.6243,6.494489671410638e-4,-0.4454,FALSE,0.006494489671410638
MEyellow,Training_Young,-0.06855,0.03417,29.9,-2.0063,0.05394255285677143,-0.3444,FALSE,0.16597708571314287
MEyellow,Training_Old,0.00923,0.03483,28.22,0.2651,0.7928747299324812,0.0498,FALSE,0.9084017924628057
MEyellow,Interaction,0.07778,0.04879,29.03,1.5941,0.12173791874472256,0.2837,FALSE,0.3043447968618064
MEmagenta,Aging,-0.09814,0.04423,54.55,-2.219,0.030666083911608626,-0.2877,FALSE,0.1296926447978129
MEmagenta,Training_Young,0.0173,0.03757,30,0.4606,0.6483908103855813,0.0838,FALSE,0.8572954659953269
MEmagenta,Training_Old,0.07766,0.03837,28.26,2.0241,0.05250927315862969,0.3558,FALSE,0.16597708571314287
MEmagenta,Interaction,0.06036,0.0537,29.1,1.1241,0.2701718752520696,0.204,FALSE,0.4977362280762368
MEred,Aging,-0.10122,0.0438,55.49,-2.3112,0.02456285672128342,-0.2963,FALSE,0.1228142836064171
MEred,Training_Young,0.02062,0.03818,30.07,0.5401,0.5931172240943059,0.098,FALSE,0.8572954659953269
MEred,Training_Old,0.04785,0.03905,28.29,1.2252,0.23059789176075085,0.2245,FALSE,0.4977362280762368
MEred,Interaction,0.02723,0.05462,29.15,0.4985,0.6218724546694708,0.0919,FALSE,0.8572954659953269
MEblack,Aging,-0.15929,0.03211,57.15,-4.9607,6.648106566861585e-6,-0.5486,FALSE,1.329621313372317e-4
MEblack,Training_Young,0.03006,0.0296,30.22,1.0153,0.31800999904901306,0.1816,FALSE,0.553060867911327
MEblack,Training_Old,-0.02047,0.03038,28.37,-0.6739,0.5058167023474403,-0.1255,FALSE,0.8143257813305266
MEblack,Interaction,-0.05053,0.04242,29.25,-1.1913,0.24312401132842396,-0.2151,FALSE,0.4977362280762368
MEblue,Aging,-0.07748,0.03535,57.96,-2.1918,0.032423161199453224,-0.2767,FALSE,0.1296926447978129
MEblue,Training_Young,0.15108,0.03433,30.33,4.4012,1.2306364600898564e-4,0.6243,FALSE,0.0016408486134531419
MEblue,Training_Old,0.06324,0.03534,28.46,1.7892,0.08423450085098416,0.318,FALSE,0.22652312158315685
MEblue,Interaction,-0.08785,0.04927,29.36,-1.7829,0.08494617059368383,-0.3126,FALSE,0.22652312158315685
MEgrey,Aging,0.04976,0.04407,44.34,1.1292,0.26489310647610764,0.1672,FALSE,0.4977362280762368
MEgrey,Training_Young,-0.07372,0.02845,29.31,-2.5915,0.014749262567024631,-0.4318,FALSE,0.08428150038299789
MEgrey,Training_Old,-0.08003,0.02876,28.08,-2.7822,0.00954163101530889,-0.4649,FALSE,0.0636108734353926
MEgrey,Interaction,-0.00631,0.04045,28.68,-0.1561,0.8770697465818174,-0.0291,FALSE,0.9154769357702094
